query,error_type,error_subtype,emotion,feedback_target,intended_learning_outcome
SELECT * FROM Logs WHERE Robot_ID BETWEEN 10 AND 5;,logic,operator misuse,anger,"Don't worry! In BETWEEN operations, the first value should be smaller than the second.",Learning correct BETWEEN operator range order
"SELECT Model, Status FROM Robots WHERE Status != 'Active' AND Status != 'Inactive';",logic,operator misuse,calmness,Pay attention to the use of AND and OR operators.,Understanding the difference between AND and OR operators in SQL conditions
SELECT Employee_ID FROM Access_Codes WHERE Level_of_Access = 'Admin' AND Level_of_Access LIKE '%User%';,logic,operator misuse,neutral,Level_of_Access can't be exactly 'Admin' AND also contain 'User' at the same time.,Understanding the difference between AND and OR operators in SQL conditions
"SELECT Robot_Model, Manufacturing_Date FROM Robots WHERE Status = 'active' ORDER BY Manufacturing_Date;",schema,undefined column,calmness,Column 'Robot_Model' is not defined. Check the schema for correct column names.,Understanding column naming conventions and referencing correct columns
"INSERT INTO Employees (Employee_ID, Employee_Name, Position, Division, Last_Login_Time) VALUES (102, 'Jane', 'Developer', 'IT', '2025-09-22');",schema,undefined column,sadness,Don't worry about column names! 'Employee_Name' and 'Position' don't exist. Try to find the right ones.,Learning to reference correct column names in INSERT statements
UPDATE Robots SET Machine_Type = 'Maintenance' WHERE Robot_ID = 12;,schema,undefined column,happiness,"Good UPDATE syntax! However, 'Machine_Type' column doesn't exist.",Understanding correct column references in UPDATE statements
SELECT * FROM Logs WHERE User_ID = 26;,schema,undefined column,anger,Don't worry about column names! 'User_ID' is not defined. Try to find the right one.,Learning proper column name usage in WHERE clause
DELETE FROM Access_Codes WHERE Access_Level = 'Admin' AND Timestamp_of_Last_Use = '2025-09-23';,schema,undefined column,neutral,Column 'Access_Level' doesn't exist.,Understanding correct column references in DELETE statements
"SELECT e.Name, r.Model FROM Employees e JOIN Robots r ON e.ID = r.ID;",schema,undefined column,sadness,Don't worry about column names! 'ID' isn't defined. Check columns in the table.,Learning proper column name usage in JOIN clauses
"INSERT INTO Robots (Robot_ID, Models, Manufacturing_Date, Status, Last_Software_Update, Employee_ID) VALUES (101, 'R-1000', '2020-01-01', 'active', '2022-01-01', 10);",schema,undefined column,calmness,Remember to check the schema! 'Models' isn't defined.,Learning to reference correct column names in INSERT statements
UPDATE Employees SET Role = 'Manager' WHERE Employee_ID = 20;,schema,undefined column,happiness,"Great UPDATE syntax! However, 'Role' column doesn't exist.",Understanding correct column references in UPDATE statements
SELECT * FROM Logs WHERE ID = 30 AND Action_Description LIKE '%login%';,schema,undefined column,anger,Don't worry about column names! 'ID' isn't defined in Logs table. Try to find the right one.,Learning proper column name usage in WHERE clauses
"SELECT Employee_ID, Full_Name, Job_Role FROM Employees INNER JOIN Robots ON Employees.Employee_ID = Robots.Employee_ID WHERE Robots.Status = 'active';",schema,undefined column,neutral,Column 'Full_Name' doesn't exist in Employees table. Check your columns.,Learning proper column name usage in JOIN clauses
DELETE FROM Employees WHERE Department = 'Finance';,schema,undefined column,happiness,"Great job on the DELETE statement! However, 'Department' is not a valid column.",Understanding correct column references in DELETE statements
SELECT Name FROM Employees WHERE Employee_ID IN (SELECT User_ID FROM Access_Codes WHERE Level_of_Access = 'Admin');,schema,undefined column,sadness,"Don't worry, column names can be tricky! 'User_ID' is not a valid column.",Understanding correct column references in subqueries
DELETE e FROM Employees e JOIN Access_Codes ac ON e.Employee_ID = ac.Employee_ID WHERE ac.Access = 'expired';,schema,undefined column,anger,"Whoa, stay positive! 'Access' is not a valid column. Please check.",Learning proper column name usage in JOIN clauses
SELECT * FROM Robots WHERE Manufacture_Date > '2023-01-01' ORDER BY Last_Software_Update;,schema,undefined column,neutral,Note that 'Manufacture_Date' is not a valid column.,Learning proper column name usage in WHERE clauses
"SELECT Name, Position FROM Employees WHERE Division = 'IT' ORDER BY Employee_ID DESC;",schema,undefined column,calmness,Remember to check the schema! 'Position' is not a valid column.,Learning correct column names and checking table schema
DELETE FROM Robots WHERE Type = 'obsolete' AND Employee_ID = 1;,schema,undefined column,happiness,"Good Start! However, 'Type' column doesn't exist.",Understanding correct column references in DELETE statements
SELECT Description FROM Incidents WHERE Robot_ID IN (SELECT ID FROM Robots WHERE Status = 'broken');,schema,undefined column,anger,Don't worry about column names! 'ID' isn't defined in Robots table. Check the table schema.,Understanding correct column references in subqueries
"SELECT r.Status, l.Action FROM Robots r RIGHT JOIN Logs l ON r.Robot_ID = l.Robot_ID;",schema,undefined column,neutral,Column 'Action' doesn't exist in Logs table.,Learning proper column name usage in JOIN clauses
"SELECT e.Name, ac.Access_Level FROM Employees e LEFT JOIN Access_Codes ac ON e.Employee_ID = ac.Employee_ID;",schema,undefined column,calmness,Take a look at the Access_Codes table schema. 'Access_Level ' is not defined.,Learning proper column name usage in JOIN clauses
"SELECT l.Description, i.Action_Description FROM Logs l LEFT JOIN Incidents i ON l.Employee_ID = i.Employee_ID;",schema,undefined column,sadness,Don't worry about the column names! Check both table schemas.,Learning proper column name usage in JOIN clauses
SELECT i.Description FROM Incidents i WHERE i.Employee_ID = (SELECT e.Employee_ID FROM Employees e WHERE e.Employee_Name = 'John');,schema,undefined column,happiness,"Great attempt! However, 'Employee_Name‘ column doesn't exist. Check your table schema.",Understanding correct column references in subqueries
"SELECT Access_Code_ID, Employee_ID, Level_of_Access, Timestamp_of_Last_Use FROM Access_Codes WHERE Employee_ID IN (SELECT Employee_ID FROM Employees WHERE Department = 'IT');",schema,undefined column,neutral,Column 'Department' doesn't exist in Employees table.,Understanding correct column references in subqueries
"DELETE FROM Incidents WHERE Timestamp_of_Last_Use IN ('2020-01-01', '2022-06-15', '2024-12-31');",schema,undefined column,sadness,I understand column names can be tricky! 'Timestamp_of_Last_Use' is not a valid column.,Understanding correct column references in DELETE statements
"CREATE VIEW Employee_Summary AS SELECT Name, Job_Role, Department FROM Employees;",schema,undefined column,calmness,Remember to check the schema! 'Department' is not defined.,Learning correct column names and checking table schema
ALTER TABLE Robots ALTER COLUMN Robot_Status SET DEFAULT 'inactive';,schema,undefined column,happiness,"Good attempt! However, 'Robot_Status‘ column doesn't exist. Check your table schema.",Learning correct column names and checking table schema
"SELECT * FROM Employees WHERE ID IN (1, 3, 5, 7, 9) OR Division LIKE '%IT%';",schema,undefined column,anger,Don't worry about column names! 'ID' isn't defined in the table. Try to find the right column name.,Learning proper column name usage in WHERE clauses
"SELECT Descriptions FROM Incidents WHERE Timestamp IN ('2023-01-01', '2023-06-15');",schema,undefined column,neutral,Column 'Descriptions' doesn't exist in Incidents table.,Learning correct column names and checking table schema
SELECT Model FROM Robots WHERE Software_Update IS NULL;,schema,undefined column,sadness,I understand column names can be tricky! 'Software_Update' doesn't exist. Please check.,Learning proper column name usage in WHERE clauses
UPDATE Logs SET Action = 'Update Robot' WHERE Log_ID = 101;,schema,undefined column,happiness,"Good UPDATE syntax! However, 'Action' column doesn't exist.",Understanding correct column references in UPDATE statements
SELECT * FROM Incidents WHERE Details = 'Robot malfunction' AND Employee_ID = 201;,schema,undefined column,calmness,Take a look at the schema. 'Details' column doesn't exist.,Learning proper column name usage in WHERE clauses
"DELETE FROM Logs WHERE Description IN ('Login', 'Logout');",schema,undefined column,anger,Don't worry about column names! 'Description' isn't defined in the table. Try to find the right column.,Understanding correct column references in DELETE statements
SELECT r.Model FROM Robots r WHERE r.Robot_ID IN (SELECT l.Robot_ID FROM Logs l WHERE l.Last_Software_Update = '2023-01-01');,schema,undefined column,sadness,"I understand column names can be tricky! 'Last_Software_Update' doesn't exist, please check.",Understanding correct column references in subqueries
"CREATE UNIQUE INDEX idx_user_access ON Access_Codes (Employee_ID, Access_Level);",schema,undefined column,calmness,"Good attempt! However, 'Access_Level' is not defined. Please have a check.",Learning correct column names and checking table schema
"SELECT Job_Role, COUNT(*) FROM Employees WHERE Login_Time > '2023-01-01' GROUP BY Job_Role;",schema,undefined column,neutral,Column 'Login_Time' doesn't exist. Please check the table schema.,Learning proper column name usage in WHERE clauses
"SELECT e.Name, ac.Timestamp FROM Employees e JOIN Access_Codes ac ON e.Employee_ID = ac.Employee_ID WHERE e.Division = 'Finance';",schema,undefined column,happiness,"Good JOIN syntax! However, 'Timestamp' column doesn't exist. Please check the table schema.",Learning proper column name usage in JOIN clauses
"SELECT i.Incidents_ID, r.Model FROM Incidents i JOIN Robots r ON i.Robot_ID = r.Robot_ID;",schema,undefined column,neutral,Column 'Incidents_ID' doesn't exist.,Learning proper column name usage in JOIN clauses
DELETE e FROM Employees e JOIN Access_Codes ac ON e.Employee_ID = ac.Employee_ID WHERE ac.Status = 'temporary';,schema,undefined column,sadness,Don't worry about the column name mix-up! 'Status' is not defined in the Access_Codes. Please check the table schema.,Learning correct column names and checking table schema
"SELECT r.Status, l.Model FROM Robots r RIGHT JOIN Logs l ON r.Robot_ID = l.Robot_ID;",schema,undefined column,happiness,"Good JOIN syntax! However, 'Model' column doesn't exist in the Logs table. Try to find the right column name.",Learning proper column name usage in JOIN clauses
SELECT * FROM Logs WHERE Robot_ID IN (SELECT Robot_ID FROM Robots WHERE Description = 'industrial');,schema,undefined column,anger,Don't worry about the column name confusion! 'Description' doesn't exist. Please check the Robots table schema.,Understanding correct column references in subqueries
"SELECT Employee_ID, Name, Salary FROM Employees;",schema,undefined column,happiness,Great job exploring the schema! Double-check column names for accuracy.,Learning correct column names and checking table schema
SELECT Last_Login_Time FROM Logs;,schema,undefined column,sadness,Don't be disheartened! Double-check the column names in the SELECT statement.,Learning correct column names and checking table schema
SELECT AccessLevel FROM Access_Codes;,schema,undefined column,neutral,Review the column names in the Access_Codes table carefully.,Learning correct column names and checking table schema
SELECT COUNT(Job) FROM Employees;,schema,undefined column,calmness,Take a closer look at the column name in the SELECT statement.,Learning correct column names and checking table schema
SELECT * FROM Employees WHERE Age > 30;,schema,undefined column,neutral,Please carefully review the column names in the Employees table.,Learning correct column names and checking table schema
"SELECT e.FullName, l.Log_ID FROM Employees e JOIN Logs l ON e.Employee_ID = l.Employee_ID;",schema,undefined column,sadness,Don’t worry! Keep exploring the schema to find the correct column names in your statement.,Learning proper column name usage in JOIN clauses
"SELECT e.Name, COUNT(l.Log_ID) AS Maintenance_Count FROM Employees e LEFT JOIN Logs l ON e.Employee_ID = l.Employee_ID AND l.Description = 'Maintenance' GROUP BY e.Name;",schema,undefined column,calmness,Take your time to review the column names in the Logs table.,Learning proper column name usage in JOIN clauses
SELECT Model FROM Robots WHERE Status = 'Active' OR Date > '2020-01-01';,schema,undefined column,happiness,Great job exploring the columns! Double-check the schema for the correct column names.,Learning proper column name usage in WHERE clauses
